id,name,province,nearest_city,elevation_m,basecamp_name,basecamp_access,basecamp_gps_lat,basecamp_gps_lng,summit_gps_lat,summit_gps_lng,distance_one_way_km,distance_round_trip_km,ascent_time_hours,descent_time_hours,num_pos,pos_breakdown,elevation_gain_segments,trail_type,difficulty,risk_level,key_hazards,critical_points,distance_from_surabaya_km,travel_time_from_surabaya_hours,recommended_transport,registration_method,permit_required,access_status,entry_fee_idr,water_sources,camping_area,emergency_shelter,signal_coverage,toilet_warung,environmental_condition,common_issues,reforestation_activity,csr_potential,recommended_conservation,best_time_months,sunrise_sunset_rating,unique_selling_point,crowd_level,minimum_gear,water_requirement_liters,emergency_contact,common_accident_types,offline_map_available,data_reliability,last_updated
semeru,Semeru (Mahameru),East Java,Lumajang / Malang,3676,Ranu Pani,From Malang via Tumpang; 4WD/ojek last 15 km to Ranu Pani village,-8.009,112.929,-8.108,112.922,15,30,12-16 (2 days recommended),8-10,9,Ranu Pani>Watu Rejeng: ~3km/1.5h; Watu Rejeng>Ranu Kumbolo: ~3km/1.5h; Ranu Kumbolo>Oro-oro Ombo: ~2km/1h; Oro-oro Ombo>Cemoro Kandang: ~1.5km/45min; Cemoro Kandang>Jambangan: ~1.5km/45min; Jambangan>Kalimati: ~1.5km/45min; Kalimati>Arcopodo: ~1km/1h; Arcopodo>Summit: ~1.5km/2-3h,Ranu Pani(2100m)>Ranu Kumbolo(2400m): +300m; Ranu Kumbolo>Kalimati(2700m): +300m; Kalimati>Summit(3676m): +976m,Forest; savanna (Oro-oro Ombo); volcanic scree (summit pyramid),Advanced,High,Active volcano (eruptions/pyroclastic clouds); altitude sickness above 3000m; extreme cold (-5°C at summit); loose volcanic scree; dehydration,Arcopodo to summit: 45° loose scree slope; risk of rockfall and falls. Summit crater: toxic gas emissions.,150,5-6,Car to Tumpang; 4WD/ojek to Ranu Pani,Online via SIMAKSI (bromotenggersemeru.org); quota limited,Yes (TN-BTS national park permit),open,"27500 weekday / 42500 weekend (domestic, 2024)",Ranu Kumbolo lake (must treat/filter); no reliable water above Kumbolo,Ranu Kumbolo (capacity ~300 tents); Kalimati (capacity ~100 tents),Basic shelter at Kalimati,Telkomsel weak at Ranu Pani; none above Ranu Kumbolo,Toilet at Ranu Pani; warung at Ranu Pani village only,Moderate,Trash accumulation at Ranu Kumbolo; trail erosion on summit slope; illegal edelweiss picking,Yes — TN-BTS reforestation program active,High,Pack-in-pack-out enforcement; edelweiss protection awareness; summit trail erosion control; Ranu Kumbolo water quality monitoring,May-October (dry season),5,Highest peak in Java; iconic Ranu Kumbolo alpine lake; Oro-oro Ombo savanna; volcanic sunrise from summit,High,4-season tent; -5°C sleeping bag; trekking poles; gaiters; headlamp; windproof jacket; balaclava; gloves,4-5,TN-BTS Ranu Pani post; BASARNAS Lumajang,Altitude sickness; falls on summit scree; hypothermia; dehydration,Yes,High,2024
arjuno,Arjuno,East Java,Malang / Batu / Pasuruan,3339,Purwosari (Lawang) / Tretes / Cangar,Purwosari: from Malang via Lawang (30 min); Tretes: from Pasuruan (1h); Cangar: from Batu (45 min),Unknown,Unknown,Unknown,Unknown,~12 (via Purwosari),~24,8-10,5-7,5 (via Purwosari),Basecamp>Pos 1: ~2.5km/1.5h; Pos 1>Pos 2: ~2km/1.5h; Pos 2>Pos 3 (Lalijiwo meadow): ~2.5km/1.5h; Pos 3>Pos 4: ~2km/1.5h; Pos 4>Summit: ~3km/2h,Basecamp(1200m)>Summit(3339m): ~2100m total gain,Dense tropical forest; alpine meadow (Lalijiwo); open ridge near summit,Advanced,Medium,Dense fog/low visibility; steep inclines; cold temperatures at summit; slippery trail in wet season; disorientation in forest,Forest section above Pos 2: easy to lose trail in fog; summit ridge: exposed to wind,90,2-3,Car/motorbike to Purwosari or Tretes,Basecamp registration (offline),Yes (Perhutani/TNBTS depending on route),open,15000-20000 (2024 estimate),Springs at Pos 1-2; unreliable above Pos 3,Lalijiwo meadow (Pos 3); open area near Pos 4,None,Telkomsel intermittent at lower pos; none above Pos 3,Basecamp only,Moderate,Trail erosion; trash at camping areas; fog-related lost hikers,Unknown,High,Trail marking improvement; Lalijiwo meadow edelweiss protection; waste management at camping areas,May-October,4,Lalijiwo edelweiss meadow; panoramic view of Semeru and Bromo; combined Arjuno-Welirang traverse,Medium,3-season tent; 0°C sleeping bag; trekking poles; rain gear; headlamp,3-4,BASARNAS Malang; local SAR Lawang,Hypothermia; lost trail in fog; slips on wet terrain,Yes,High,2024
welirang,Welirang,East Java,Pasuruan / Batu,3156,Tretes / Cangar,Tretes: from Pasuruan via Prigen (1h); Cangar: from Batu (45 min hot springs road),Unknown,Unknown,Unknown,Unknown,~10 (via Tretes),~20,7-9,5-6,4,Tretes>Pos 1 (Patok): ~2.5km/1.5h; Pos 1>Pos 2: ~2.5km/1.5h; Pos 2>Sulfur mining area: ~2km/1.5h; Sulfur area>Summit: ~3km/2.5h,Tretes(800m)>Summit(3156m): ~2350m total gain,Forest; sulfur fumarole field; rocky terrain near summit,Advanced,Medium,Sulfur gas exposure at fumarole field; steep rocky sections; cold; dense fog,Sulfur mining area: toxic fumes; do not linger. Rocky scramble near summit.,80,2-2.5,Car/motorbike to Tretes,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Springs at lower pos; none near summit,Flat area before sulfur field,None,Intermittent below sulfur area; none near summit,Tretes basecamp only,Moderate,Sulfur mining waste; trail damage from miners,Unknown,Medium,Sulfur miner safety awareness; trail rehabilitation; waste management,May-October,4,Active sulfur fumaroles; often combined with Arjuno traverse; traditional sulfur miners still active,Medium,3-season tent; 0°C sleeping bag; mask/bandana for sulfur area; trekking poles; rain gear,3-4,BASARNAS Pasuruan,Sulfur gas inhalation; slips on rocky terrain; hypothermia,Yes,Medium,2024
raung,Raung,East Java,Banyuwangi / Bondowoso,3332,Kalibaru / Sumber Wringin,Kalibaru: from Banyuwangi (2h drive); Sumber Wringin: from Bondowoso (1.5h),Unknown,Unknown,Unknown,Unknown,~18 (via Kalibaru),~36,14-18 (2-3 days),10-12,5,Basecamp>Pos 1 (Pondok Salak): ~4km/2h; Pos 1>Pos 2 (Pondok Angin): ~3.5km/2h; Pos 2>Pos 3: ~3.5km/2.5h; Pos 3>Crater rim: ~4km/3h; Crater rim traverse to summit: ~3km/3h,Basecamp(~1200m)>Summit(3332m): ~2100m total,Dense tropical forest; crater rim traverse; exposed ridge,Advanced,High,Exposed crater rim (no protection; sheer drops both sides); active volcanic activity; extreme wind on ridge; dense forest navigation; limited water,Crater rim traverse: knife-edge ridge with 300m+ drops; summit push requires technical scrambling,250,5-6,Car to Kalibaru; motorbike to trailhead,Basecamp registration; coordinate with local guide,Yes (Perhutani/TNMAS),open,Unknown,Spring at Pos 1; unreliable above,Pondok Angin (Pos 2); crater rim (exposed),None,None above Pos 1,None on trail,Good (low traffic preserves environment),Illegal logging in lower forest; volcanic damage to trails,Unknown,High,Anti-logging patrols; trail maintenance after volcanic events; wildlife corridor protection,May-September (avoid monsoon — extreme wind on rim),5,One of Java's most technical and remote summits; dramatic crater rim traverse; pristine forest; true wilderness experience,Low,4-season tent; -5°C sleeping bag; trekking poles; helmet (rockfall); 3 days food; rope (recommended); full rain gear,5-6,BASARNAS Bondowoso/Banyuwangi,Falls from crater rim; lost trail in forest; dehydration; hypothermia,Unknown,Medium,2024
argopuro,Argopuro,East Java,Probolinggo / Situbondo,3088,Baderan (Situbondo) / Bremi (Probolinggo),Baderan: from Situbondo (2h); Bremi: from Probolinggo (2h); traverse route popular,Unknown,Unknown,Unknown,Unknown,~30 (Baderan-Bremi traverse),~30 (one-way traverse) or ~40 (return via same route),18-24 (3-4 days traverse),12-16,6-7 (varies by route),Baderan>Pos 1: ~5km/3h; Pos 1>Pos 2 (Cisentor): ~5km/3h; Cisentor>Pos 3: ~4km/2.5h; Pos 3>Rengganis crater: ~4km/2.5h; Rengganis>Summit: ~3km/2h; Summit>Bremi exit: ~9km/5h,Baderan(~700m)>Summit(3088m): ~2400m total; Bremi exit(~600m): -2500m descent,Dense tropical forest; savanna plateau; crater area; alpine meadow,Advanced,Medium,Longest trail in Java — logistics/endurance; dense forest navigation; limited water sources; wildlife (wild boar; monkeys); isolation,Forest section between Pos 1-3: easy to lose trail; Rengganis area: sulfurous gas pockets,130,3-4,Car to Baderan or Bremi; arrange pickup at exit point for traverse,Basecamp registration (offline); recommended to hire local guide,Yes (Perhutani),open,Unknown,Springs at Cisentor; Rengganis area (sulfurous — filter carefully); carry 3+ days water capacity,Cisentor (flat); savanna plateau near summit; multiple informal sites,None,None on entire trail,None on trail,"Good (remote, low traffic)",Trail markers overgrown; illegal logging at lower elevations,Unknown,High,Trail marking and maintenance; anti-logging initiative; wildlife monitoring; water source protection,May-September,4,Longest hiking trail in Java; true multi-day wilderness expedition; Rengganis hot crater; pristine ecosystem,Low,4-season tent; -5°C sleeping bag; 3-4 days food supply; water purification; GPS device; trekking poles; machete (overgrown trail sections),6+ (per day: 2-3L),BASARNAS Probolinggo/Situbondo,Lost trail/disorientation; dehydration; animal encounters; exhaustion,Unknown,Medium,2024
bromo,Bromo,East Java,Probolinggo / Pasuruan,2329,Cemoro Lawang,From Probolinggo via Sukapura (1.5h drive); paved road to Cemoro Lawang,-7.936,112.963,-7.942,112.95,~3 (from Cemoro Lawang to crater),~6,1-1.5,1,2 (Sand Sea crossing + stairway to crater rim),Cemoro Lawang>Sand Sea floor: ~1.5km/30min; Sand Sea>Base of stairway: ~1km/20min; Stairway>Crater rim: ~0.5km/15min,Cemoro Lawang(2217m)>Sand Sea(2100m): -117m; Sand Sea>Crater rim(2329m): +229m,Volcanic sand sea; concrete stairway to crater rim,Beginner,Low,Volcanic gas at crater rim; sand storms in dry season; cold pre-dawn (for sunrise); altitude for unacclimatized,Crater rim: no barriers on volcanic side; do not descend into crater,120,3-4,Car to Cemoro Lawang; 4WD jeep tours available from Probolinggo or Malang,Online via TN-BTS or at gate,Yes (TN-BTS),open,"32000 weekday / 47000 weekend (domestic, 2024)",Purchase in Cemoro Lawang; none on trail,Not applicable (day trip); guesthouses in Cemoro Lawang,Cemoro Lawang village,Telkomsel and Indosat available in Cemoro Lawang; weak on Sand Sea,Cemoro Lawang has multiple warungs and toilets; toilet near stairway base,Moderate,Tourist trash on Sand Sea and crater rim; horse waste from tourist rides; overcrowding on holidays,Yes — TN-BTS Sand Sea ecosystem restoration,High,Tourist waste management; horse ride regulation; visitor capacity limits; Sand Sea ecosystem awareness,Year-round (best May-October for clear sunrise),5,Iconic volcanic landscape of Java; sunrise at Penanjakan viewpoint; Sand Sea caldera; extremely accessible for all fitness levels,High,Warm jacket; headlamp (pre-dawn); mask/bandana (sand/gas); comfortable shoes,1,TN-BTS Cemoro Lawang post; BASARNAS Probolinggo,Respiratory irritation from volcanic gas; minor slips on stairway; cold exposure (pre-dawn tourists underdressed),Yes,High,2024
ijen,Ijen (Kawah Ijen),East Java,Banyuwangi / Bondowoso,2799,Paltuding,From Banyuwangi via Licin (1.5h); or from Bondowoso via Sempol (2h); paved road to Paltuding,-8.058,114.227,-8.058,114.242,~3,~6 (plus 1km descent into crater if going to blue fire),1.5-2,1-1.5,2 (Pos Bunder + crater rim),Paltuding>Pos Bunder: ~1.5km/45min; Pos Bunder>Crater rim: ~1.5km/45min; Crater rim>Lake/blue fire: ~1km/30min (steep descent),Paltuding(1850m)>Crater rim(2799m): +949m; Crater rim>Lake(2148m): -651m,"Paved/rocky path; steep descent into crater (rocky, slippery)",Beginner (rim only) / Intermediate (crater descent),Medium,Toxic sulfur gas (H2S/SO2) in crater — can be lethal; slippery crater descent path; darkness (blue fire viewing requires 1-3am arrival); cold,"Inside crater: gas concentration can spike suddenly — bring gas mask. Descent path to lake: steep, rocky, no barriers",250,5-6,Car to Paltuding; motorbike possible but cold pre-dawn ride,Gate registration at Paltuding,Yes (TNAP — Alas Purwo/Ijen park),open,"7500 weekday / 10000 weekend (domestic, 2024)",Purchase at Paltuding; none on trail,Not applicable (day/night trip),Pos Bunder,Telkomsel at Paltuding; none at crater,Paltuding has warung and toilet; none on trail,Moderate,Sulfur miner exploitation/safety; tourist trash at crater rim; acid lake contamination risk,Unknown,High,Sulfur miner welfare programs; gas mask distribution; crater area waste cleanup; visitor education on toxic gas risks,Year-round (blue fire best Apr-Oct; arrive 1-3am),5,Blue fire phenomenon (one of two locations worldwide); turquoise acid crater lake; sulfur miners; dramatic pre-dawn hike,High,Gas mask (activated carbon); headlamp; warm jacket; good grip shoes; gloves,1-2,Paltuding ranger post; BASARNAS Banyuwangi,Gas inhalation (most common); slips in crater; cold exposure,Yes,High,2024
penanggungan,Penanggungan,East Java,Mojokerto / Pasuruan,1653,Tamiajeng / Jedong / Trawas,From Mojokerto via Trawas (45 min); multiple access points,Unknown,Unknown,Unknown,Unknown,~5 (via Tamiajeng),~10,3-4,2-3,3,Basecamp>Pos 1: ~1.5km/1h; Pos 1>Pos 2: ~1.5km/1h; Pos 2>Summit: ~2km/1.5h,Basecamp(~600m)>Summit(1653m): ~1050m total,Forest; some rocky sections near summit; historical temple ruins along trail,Intermediate,Low,Slippery trail in wet season; limited shade on upper section; occasional monkeys,Rocky section near summit: loose rocks,55,1.5-2,Car/motorbike,Basecamp registration (offline),"No (Perhutani managed, fee at gate)",open,"5000-10000 (estimate, 2024)",Springs near lower pos; carry your own recommended,Small clearing near Pos 2 and summit area,None,Telkomsel available at most points,Basecamp warung; none on trail,Moderate,Trash on trail; damage to historical temple ruins,Unknown,High,Archaeological site preservation; trail cleanup days; heritage education; forest replanting at lower elevations,May-October,3,Over 80 ancient Hindu-Buddhist temple ruins scattered along trail; significant archaeological site; close to Surabaya for day trips,Medium,Day pack; 1L water minimum; comfortable hiking shoes; rain jacket,2,Unknown,Slips; minor scrapes; dehydration,Unknown,Medium,2024
panderman,Panderman,East Java,Batu,2045,Basecamp Panderman (Desa Toyomarto/Desa Pesanggrahan),From Batu city center (15 min drive/ojek),Unknown,Unknown,Unknown,Unknown,~4,~8,2-3,1.5-2,3,Basecamp>Pos 1: ~1.5km/45min; Pos 1>Pos 2: ~1.3km/45min; Pos 2>Summit: ~1.2km/45min,Basecamp(~1100m)>Summit(2045m): ~945m total,Open grassland; pine forest; open ridge,Beginner,Low,Sun exposure (open grassland); slippery when wet; wind at summit,None significant,90,2.5-3,Car/motorbike to Batu; ojek to basecamp,Basecamp registration (offline),No (entry fee at gate),open,"10000-15000 (estimate, 2024)",Carry your own,Summit area (popular for overnight camp),None,Good coverage throughout (close to Batu city),Basecamp has warung and toilet,Moderate,Trash at summit camping area; grassland fire risk in dry season,Unknown,Medium,Summit waste cleanup; fire prevention; grassland restoration,Year-round (avoid heavy rain Dec-Feb),4,Best beginner mountain near Surabaya; panoramic 360° view of Arjuno-Welirang-Kawi-Kelud; popular sunrise camping; open grassland landscape,High,Day pack; 1L water; comfortable shoes; jacket for summit wind,1.5,Unknown,Minor slips; sun exposure; dehydration,Unknown,Medium,2024
butak,Butak,East Java,Malang / Batu / Blitar,2868,Basecamp Panderman (combined route) / Coban Trisula / Sirah Kencong,Via Panderman summit (continue traverse); or from Blitar side via Sirah Kencong,Unknown,Unknown,Unknown,Unknown,~10 (via Panderman traverse),~20,7-9,5-6,4 (via Panderman route),Panderman summit>Saddle: ~2km/1.5h; Saddle>Pos Sabana: ~2km/1.5h; Pos Sabana>Pos 3: ~2km/1.5h; Pos 3>Butak Summit: ~2km/2h,Panderman(2045m)>Butak(2868m): +823m net (with undulation),Alpine savanna; open ridge; some forest sections; exposed ridgeline,Intermediate,Medium,Exposed ridgeline (wind/lightning); long traverse with no escape route; cold; limited water,Ridge traverse between Panderman and Butak: exposed to weather; no shelter,95,2.5-3,Car/motorbike to Batu/Panderman basecamp,Basecamp registration (offline),Yes (Perhutani),open,Unknown,None on traverse — carry all water from Panderman basecamp,Savanna plateau between Panderman and Butak,None,Intermittent on ridge; none in valleys,None on trail,Good (low traffic),Grassland fires in dry season; trail erosion,Unknown,Medium,Fire prevention program; trail marking; grassland ecosystem protection,May-September (dry season only — ridge too dangerous in rain),5,Stunning Panderman-Butak traverse across open savanna ridgeline; dramatic sunrise over sea of clouds; less crowded alternative to Arjuno,Low,3-season tent; 0°C sleeping bag; trekking poles; windproof jacket; 4L+ water; headlamp,4-5,BASARNAS Malang,Hypothermia; dehydration; lightning strikes on exposed ridge,Unknown,Medium,2024
